test_008  单选框和复选框
test_010  复选框点餐
test_011  复选框点餐
test_012  复选框点餐
test_013  下拉菜单
test_014  计算卡路里
test_015  listView控件
test_016  TextView设置标题，使用TextView消息弹窗
test_017  获取当前时间，以及调用系统日历弹窗
test_018  Intent界面跳转
test_019  记事本小程序
test_020  隐式Intent打开浏览器
test_021  调用相机并拍照显示
test_022  音乐播放器
test_023  连接到京东首页
test_024  地图定位经纬度
test_025  引用高德地图api
test_026  数据库操作
test_027  插件服务
test_028  打开蓝牙
test_029  自定义控件
test_030  给当前活动创建菜单
test_031  listView控件
test_032  RecyclerView控件实现瀑布流显示
test_033  sqliet数据库操作（率土之滨武将库）
test_034  stzb界面设计
test_035  
